tempo_ms,rpm,vel_kmh,erro,correcao_pid,pwm_esq,pwm_dir
118,0.0,0.00,70,3.0,173,167
235,0.0,0.00,83,6.0,176,164
352,0.0,0.00,82,5.0,175,165
452,0.0,0.00,62,2.0,172,168
553,0.0,0.00,64,5.0,175,165
653,0.0,0.00,58,0.0,170,170
754,0.0,0.00,68,4.0,174,166
866,0.0,0.00,-257,-75.0,95,245
978,0.0,0.00,72,4.0,174,166
1101,0.0,0.00,-1046,-150.0,40,250
1224,0.0,0.00,753,150.0,250,40
1348,0.0,0.00,-3014,-150.0,40,250
1493,0.0,0.00,-981,70.0,240,100
1639,0.0,0.00,-3500,-150.0,40,250
1785,0.0,0.00,70,150.0,250,40
1931,0.0,0.00,-3500,-150.0,40,250
2099,0.0,0.00,997,150.0,250,40
2183,0.0,0.00,-1079,-150.0,40,250
2268,0.0,0.00,-3014,-150.0,40,250
2352,0.0,0.00,60,150.0,250,40
2448,0.0,0.00,2062,150.0,250,40
2543,0.0,0.00,-1046,-150.0,40,250
2639,0.0,0.00,-3276,-150.0,40,250
2745,0.0,0.00,1308,150.0,250,40
2841,0.0,0.00,3500,150.0,250,40
2959,0.0,0.00,888,-150.0,40,250
3066,0.0,0.00,-1947,-150.0,40,250
3173,0.0,0.00,2721,150.0,250,40
3291,0.0,0.00,3500,150.0,250,40
3409,0.0,0.00,2046,-150.0,40,250
3527,0.0,0.00,2963,150.0,250,40
3656,0.0,0.00,3500,150.0,250,40
3774,0.0,0.00,2116,-150.0,40,250
3915,0.0,0.00,3041,150.0,250,40
4044,0.0,0.00,3500,150.0,250,40
4174,0.0,0.00,903,-150.0,40,250
4314,0.0,0.00,866,36.0,206,134
4455,0.0,0.00,3500,150.0,250,40
4596,0.0,0.00,3500,150.0,250,40
4737,0.0,0.00,3009,52.0,222,118
4889,0.0,0.00,3500,150.0,250,40
5041,0.0,0.00,3500,150.0,250,40
5193,0.0,0.00,3500,150.0,250,40
5356,0.0,0.00,3500,150.0,250,40
5508,0.0,0.00,3500,150.0,250,40
5682,0.0,0.00,3500,150.0,250,40
5845,0.0,0.00,3500,150.0,250,40
6008,0.0,0.00,3500,150.0,250,40
6183,0.0,0.00,3500,150.0,250,40
6357,0.0,0.00,3500,150.0,250,40
6532,0.0,0.00,3500,150.0,250,40
6706,0.0,0.00,3500,150.0,250,40
6892,0.0,0.00,3500,150.0,250,40
7078,0.0,0.00,3500,150.0,250,40
7264,0.0,0.00,3500,150.0,250,40
7449,0.0,0.00,3500,150.0,250,40
7646,0.0,0.00,3500,150.0,250,40
7843,0.0,0.00,3500,150.0,250,40
8041,0.0,0.00,3500,150.0,250,40
8238,0.0,0.00,3500,150.0,250,40
8446,0.0,0.00,3500,150.0,250,40
8654,0.0,0.00,3500,150.0,250,40
8863,0.0,0.00,3500,150.0,250,40
9071,0.0,0.00,3500,150.0,250,40
9291,0.0,0.00,3500,150.0,250,40
9499,0.0,0.00,3500,150.0,250,40
9730,0.0,0.00,3500,150.0,250,40
9950,0.0,0.00,3500,150.0,250,40
10181,0.0,0.00,3500,150.0,250,40
10411,0.0,0.00,3500,150.0,250,40
10643,0.0,0.00,3500,150.0,250,40
10874,0.0,0.00,3500,150.0,250,40
11116,0.0,0.00,3500,150.0,250,40
11358,0.0,0.00,3500,150.0,250,40
11600,0.0,0.00,3500,150.0,250,40
11842,0.0,0.00,3500,150.0,250,40
12096,0.0,0.00,3500,150.0,250,40
12349,0.0,0.00,3500,150.0,250,40
12603,0.0,0.00,3500,150.0,250,40
12856,0.0,0.00,3500,150.0,250,40
13121,0.0,0.00,3500,150.0,250,40
13386,0.0,0.00,3500,150.0,250,40
13650,0.0,0.00,3500,150.0,250,40
13915,0.0,0.00,3500,150.0,250,40
14191,0.0,0.00,3500,150.0,250,40
14468,0.0,0.00,3500,150.0,250,40
14744,0.0,0.00,3500,150.0,250,40
15020,0.0,0.00,3500,150.0,250,40
15307,0.0,0.00,3500,150.0,250,40
15594,0.0,0.00,3500,150.0,250,40
15882,0.0,0.00,3500,150.0,250,40
16169,0.0,0.00,3500,150.0,250,40
16468,0.0,0.00,3500,150.0,250,40
16766,0.0,0.00,3500,150.0,250,40
17065,0.0,0.00,3500,150.0,250,40
17364,0.0,0.00,3500,150.0,250,40
17673,0.0,0.00,3500,150.0,250,40
17983,0.0,0.00,3500,150.0,250,40
18293,0.0,0.00,3500,150.0,250,40
18603,0.0,0.00,3500,150.0,250,40
18925,0.0,0.00,3500,150.0,250,40
19246,0.0,0.00,3500,150.0,250,40
19567,0.0,0.00,3500,150.0,250,40
19889,0.0,0.00,3500,150.0,250,40
20221,0.0,0.00,3500,150.0,250,40
20564,0.0,0.00,3500,150.0,250,40
20897,0.0,0.00,3500,150.0,250,40
21229,0.0,0.00,3500,150.0,250,40
21573,0.0,0.00,3500,150.0,250,40
21917,0.0,0.00,3500,150.0,250,40
22261,0.0,0.00,3500,150.0,250,40
22616,0.0,0.00,3500,150.0,250,40
22960,0.0,0.00,3500,150.0,250,40
23326,0.0,0.00,3500,150.0,250,40
23681,0.0,0.00,3500,150.0,250,40
24036,0.0,0.00,3500,150.0,250,40
24402,0.0,0.00,3500,150.0,250,40
24769,0.0,0.00,3500,150.0,250,40
25135,0.0,0.00,3500,150.0,250,40
25512,0.0,0.00,3500,150.0,250,40
25879,0.0,0.00,3500,150.0,250,40
26267,0.0,0.00,3500,150.0,250,40
26645,0.0,0.00,3500,150.0,250,40
27023,0.0,0.00,3500,150.0,250,40
27412,0.0,0.00,3500,150.0,250,40
27812,0.0,0.00,3500,150.0,250,40
28200,0.0,0.00,3500,150.0,250,40
28589,0.0,0.00,3500,150.0,250,40
28989,0.0,0.00,3500,150.0,250,40
29401,0.0,0.00,3500,150.0,250,40
29801,0.0,0.00,3500,150.0,250,40
30212,0.0,0.00,3500,150.0,250,40
30624,0.0,0.00,3500,150.0,250,40
31035,0.0,0.00,3500,150.0,250,40
31447,0.0,0.00,3500,150.0,250,40
31869,0.0,0.00,3500,150.0,250,40
32292,0.0,0.00,3500,150.0,250,40
32715,0.0,0.00,3500,150.0,250,40
33137,0.0,0.00,3500,150.0,250,40
33571,0.0,0.00,3500,150.0,250,40
34005,0.0,0.00,3500,150.0,250,40
34439,0.0,0.00,3500,150.0,250,40
34873,0.0,0.00,3500,150.0,250,40
35319,0.0,0.00,3500,150.0,250,40
35764,0.0,0.00,3500,150.0,250,40
36209,0.0,0.00,3500,150.0,250,40
36655,0.0,0.00,3500,150.0,250,40
37111,0.0,0.00,3500,150.0,250,40
37568,0.0,0.00,3500,150.0,250,40
38024,0.0,0.00,3500,150.0,250,40
38481,0.0,0.00,3500,150.0,250,40
38949,0.0,0.00,3500,150.0,250,40
39417,0.0,0.00,3500,150.0,250,40
39884,0.0,0.00,3500,150.0,250,40
40352,0.0,0.00,3500,150.0,250,40
40832,0.0,0.00,3500,150.0,250,40
41311,0.0,0.00,3500,150.0,250,40
41790,0.0,0.00,3500,150.0,250,40
42269,0.0,0.00,3500,150.0,250,40
42760,0.0,0.00,-1895,-150.0,40,250
43250,0.0,0.00,-99,150.0,250,40
43741,0.0,0.00,-3500,-150.0,40,250
44231,0.0,0.00,-197,150.0,250,40
44733,0.0,0.00,-3500,-150.0,40,250
45246,0.0,0.00,-3500,-150.0,40,250
45747,0.0,0.00,-3500,-150.0,40,250
46249,0.0,0.00,-3500,-150.0,40,250
46762,0.0,0.00,-3500,-150.0,40,250
47286,0.0,0.00,-3500,-150.0,40,250
47799,0.0,0.00,1913,150.0,250,40
48323,0.0,0.00,1956,105.0,250,65
48848,0.0,0.00,1615,12.0,182,158
49372,0.0,0.00,1778,120.0,250,50
49896,0.0,0.00,2792,150.0,250,40
50432,0.0,0.00,-364,-150.0,40,250
50967,0.0,0.00,-677,-95.0,75,250
51503,0.0,0.00,-3500,-150.0,40,250
52038,0.0,0.00,-1644,150.0,250,40
52585,0.0,0.00,-1463,-37.0,133,207
53132,0.0,0.00,-3500,-150.0,40,250
53679,0.0,0.00,-3500,-150.0,40,250
54226,0.0,0.00,-744,150.0,250,40
54784,0.0,0.00,-323,68.0,238,102
55342,0.0,0.00,-308,-12.0,158,182
55901,0.0,0.00,-3500,-150.0,40,250
56470,0.0,0.00,-3500,-150.0,40,250
57028,0.0,0.00,-3500,-150.0,40,250
57609,0.0,0.00,-3500,-150.0,40,250
58178,0.0,0.00,-3500,-150.0,40,250
58759,0.0,0.00,-3500,-150.0,40,250
59339,0.0,0.00,-3500,-150.0,40,250
59920,0.0,0.00,-3500,-150.0,40,250
60501,0.0,0.00,-3500,-150.0,40,250
61093,0.0,0.00,-3500,-150.0,40,250
61685,0.0,0.00,-3500,-150.0,40,250
62277,0.0,0.00,-3500,-150.0,40,250
62869,0.0,0.00,-3500,-150.0,40,250
63472,0.0,0.00,-3500,-150.0,40,250
64075,0.0,0.00,-3500,-150.0,40,250
64678,0.0,0.00,-3500,-150.0,40,250
65293,0.0,0.00,-3500,-150.0,40,250
65907,0.0,0.00,-3500,-150.0,40,250
66522,0.0,0.00,-3500,-150.0,40,250
67136,0.0,0.00,-3500,-150.0,40,250
67762,0.0,0.00,-3500,-150.0,40,250
68388,0.0,0.00,-3500,-150.0,40,250
69014,0.0,0.00,-3500,-150.0,40,250
69640,0.0,0.00,-3500,-150.0,40,250
70277,0.0,0.00,-3500,-150.0,40,250
70914,0.0,0.00,-3500,-150.0,40,250
71551,0.0,0.00,-3500,-150.0,40,250
72200,0.0,0.00,-3500,-150.0,40,250
72837,0.0,0.00,-3500,-150.0,40,250
73496,0.0,0.00,-3500,-150.0,40,250
74145,0.0,0.00,544,150.0,250,40
74804,0.0,0.00,-118,-137.0,40,250
75453,0.0,0.00,744,150.0,250,40
76123,0.0,0.00,960,91.0,250,79
76783,0.0,0.00,-1081,-150.0,40,250
77454,0.0,0.00,-1120,-63.0,107,233
78125,0.0,0.00,-1448,-137.0,40,250
78796,0.0,0.00,-1434,-69.0,101,239
79467,0.0,0.00,-1054,24.0,194,146
80149,0.0,0.00,-893,-12.0,158,182
80831,0.0,0.00,-807,-23.0,147,193
81513,0.0,0.00,-738,-23.0,147,193
82195,0.0,0.00,-772,-44.0,126,214
82889,0.0,0.00,-3500,-150.0,40,250
83583,0.0,0.00,-3500,-150.0,40,250
84276,0.0,0.00,-3500,-150.0,40,250
84970,0.0,0.00,-2855,-13.0,157,183
